"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Markdown", "HTML", "JavaScript JSX", "CSS", "C#", "XML", "comment", "blank", "total"
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Aktywnosci\Validators\UpdateAktywnoscValidator.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, -2, -21
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Extensions\Result.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, -1, -12
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Interfaces\IPhotoAccessor.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, -2, -12
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Interfaces\IUserAccessor.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, -1, -8
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Kategorie\Commands\CreateKategoria.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, -7, -46
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Kategorie\Commands\DeleteKategoria.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, -6, -38
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Kategorie\Commands\UpdateKategoria.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, -6, -45
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Kategorie\DTOs\KategoriaDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -1, -9
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Kategorie\Queries\GetAllKategorie.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, -5, -31
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Kategorie\Queries\GetKategoriaById.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -5, -34
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Kategorie\Validators\KategoriaValidator.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -2, -14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\MappingProfiles\AktywnoscMappingProfile.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -6, -35
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\MappingProfiles\KategoriaMappingProfile.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -2, -16
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\MappingProfiles\MiastoMappingProfile.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -2, -17
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\MappingProfiles\MiejsceMappingProfile.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -3, -20
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\MappingProfiles\PhotoMappingProfile.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -2, -16
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\MappingProfiles\UsersMappingProfile.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -2, -19
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miasta\Commands\CreateMiasto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, -7, -46
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miasta\Commands\DeleteMiasto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, -6, -38
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miasta\Commands\UpdateMiasto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, -6, -45
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miasta\DTOs\MiastoDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -2, -11
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miasta\Queries\GetAllMiasta.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, -5, -31
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miasta\Queries\GetMiastoById.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -5, -34
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miasta\Validators\MiastoValidator.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -2, -14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\Commands\CreateMiejsce.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, -7, -46
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\Commands\DeleteMiejsce.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, -7, -39
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\Commands\UpdateMiejsce.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, -6, -45
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\DTOs\MiejsceDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -1, -13
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\Queries\GetAllMiejsca.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, -6, -32
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\Queries\GetMiejscaByMiastoId.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, -6, -34
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\Queries\GetMiejsceById.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -6, -35
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miejsca\Validators\MiejsceValidator.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -2, -16
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Photos\Commands\AddPhoto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -42, 0, 0, -9, -51
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Photos\Commands\DeletePhoto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -38, 0, 0, -9, -47
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Photos\Commands\SetMainPhoto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, -10, -46
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Photos\DTOs\PhotoDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -1, -10
