Date : 2023-05-30 00:13:07
Directory : c:\Users\dell\Desktop\Projekt inżynierski\poster.client
Total : 76 files,  18790 codes, 64 comments, 488 blanks, all 19342 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\models\user.ts                                       | TypeScript         |         41 |          0 |          6 |         47 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\router\protectedRoute.tsx                            | TypeScript JSX     |         11 |          0 |          4 |         15 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\router\routes.tsx                                    | TypeScript JSX     |         74 |          0 |          3 |         77 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\store\aktywnoscStore.ts                              | TypeScript         |        238 |          0 |         23 |        261 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\store\commonStore.ts                                 | TypeScript         |         24 |          0 |          6 |         30 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\store\kategorieStore.ts                              | TypeScript         |         73 |          0 |         13 |         86 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\store\miastaStore.ts                                 | TypeScript         |         73 |          0 |         13 |         86 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\store\miejscaStore.ts                                | TypeScript         |         85 |          0 |         15 |        100 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\store\store.ts                                       | TypeScript         |         27 |          0 |          4 |         31 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\store\userStore.ts                                   | TypeScript         |        289 |          0 |         34 |        323 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\aktywnosci\dashboard\AktywnoscListItem.tsx      | TypeScript JSX     |        162 |          0 |          9 |        171 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\aktywnosci\dashboard\AktywnoscListItemUsers.tsx | TypeScript JSX     |         36 |          0 |          4 |         40 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\aktywnosci\dashboard\AktywnosciDashboard.tsx    | TypeScript JSX     |         62 |          0 |          7 |         69 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\aktywnosci\dashboard\AktywnosciFilters.tsx      | TypeScript JSX     |        256 |          0 |          5 |        261 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\aktywnosci\dashboard\AktywnosciList.tsx         | TypeScript JSX     |         35 |          0 |          4 |         39 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\aktywnosci\details\AktywnoscDetails.tsx         | TypeScript JSX     |         53 |          1 |          7 |         61 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\aktywnosci\details\AktywnoscDetailsChat.tsx     | TypeScript JSX     |         67 |          0 |          4 |         71 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\aktywnosci\details\AktywnoscDetailsHeader.tsx   | TypeScript JSX     |         94 |          0 |          4 |         98 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\aktywnosci\details\AktywnoscDetailsInfo.tsx     | TypeScript JSX     |        122 |          0 |          8 |        130 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\aktywnosci\details\AktywnoscDetailsSidebar.tsx  | TypeScript JSX     |        124 |          0 |          5 |        129 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\aktywnosci\details\AktywnoscPhoto.tsx           | TypeScript JSX     |         19 |          0 |          5 |         24 |
