"filename", "language", "C#", "XML", "JSON", "comment", "blank", "total"
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Aktywnosci\Queries\GetAktywnoscById.cs", "C#", 29, 0, 0, 0, 6, 35
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Aktywnosci\Queries\GetAllAktywnosci.cs", "C#", 26, 0, 0, 0, 5, 31
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Aktywnosci\Queries\GetFilteredAktywnosci.cs", "C#", 88, 0, 0, 0, 12, 100
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Aktywnosci\Validators\CreateAktywnoscValidator.cs", "C#", 18, 0, 0, 0, 2, 20
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Aktywnosci\Validators\UpdateAktywnoscValidator.cs", "C#", 19, 0, 0, 0, 2, 21
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Extensions\Result.cs", "C#", 11, 0, 0, 0, 1, 12
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Interfaces\IPhotoAccessor.cs", "C#", 10, 0, 0, 0, 2, 12
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Interfaces\IUserAccessor.cs", "C#", 7, 0, 0, 0, 1, 8
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Kategorie\Commands\CreateKategoria.cs", "C#", 39, 0, 0, 0, 7, 46
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Kategorie\Commands\DeleteKategoria.cs", "C#", 32, 0, 0, 0, 6, 38
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Kategorie\Commands\UpdateKategoria.cs", "C#", 39, 0, 0, 0, 6, 45
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Kategorie\DTOs\KategoriaDTO.cs", "C#", 8, 0, 0, 0, 1, 9
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Kategorie\Queries\GetAllKategorie.cs", "C#", 26, 0, 0, 0, 5, 31
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Kategorie\Queries\GetKategoriaById.cs", "C#", 29, 0, 0, 0, 5, 34
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Kategorie\Validators\KategoriaValidator.cs", "C#", 12, 0, 0, 0, 2, 14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\MappingProfiles\AktywnoscMappingProfile.cs", "C#", 29, 0, 0, 0, 6, 35
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\MappingProfiles\KategoriaMappingProfile.cs", "C#", 14, 0, 0, 0, 2, 16
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\MappingProfiles\MiastoMappingProfile.cs", "C#", 15, 0, 0, 0, 2, 17
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\MappingProfiles\MiejsceMappingProfile.cs", "C#", 17, 0, 0, 0, 3, 20
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\MappingProfiles\PhotoMappingProfile.cs", "C#", 14, 0, 0, 0, 2, 16
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\MappingProfiles\UsersMappingProfile.cs", "C#", 17, 0, 0, 0, 2, 19
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.application\Miasta\Commands\CreateMiasto.cs", "C#", 39, 0, 0, 0, 7, 46
